X,Y,Dist_LWheel,Dist_RWheel In Probe
0.004334,-0.000030,0.000788,0.004728
0.009059,-0.000207,0.003940,0.005516
0.015355,-0.000511,0.006304,0.006304
0.023226,-0.000891,0.008668,0.007092
0.032675,-0.001246,0.010244,0.008668
0.042916,-0.001520,0.011032,0.009456
0.054340,-0.001704,0.012608,0.010244
0.066554,-0.001704,0.012608,0.011820
0.079950,-0.001632,0.014184,0.012608

0.124459,-0.000583,0.017336,0.014184
0.140589,0.000283,0.018912,0.013396
0.156676,0.001753,0.017336,0.014972
0.173913,0.003608,0.018912,0.015760
0.191496,0.005883,0.018912,0.016548
0.208651,0.008383,0.018912,0.015760
0.226914,0.011446,0.021276,0.015760
0.245435,0.015272,0.022064,0.015760
0.263011,0.019696,0.020488,0.015760
0.281572,0.025008,0.020488,0.018124
0.300044,0.030618,0.020488,0.018124
0.318425,0.036524,0.019700,0.018912
0.337148,0.042651,0.020488,0.018912
0.355431,0.048852,0.018912,0.019700
0.374494,0.055204,0.019700,0.020488
0.393592,0.061454,0.019700,0.020488
0.413097,0.067722,0.020488,0.020488
0.432603,0.073990,0.020488,0.020488
0.451734,0.080137,0.020488,0.019700
0.471580,0.086632,0.021276,0.020488
0.491391,0.093233,0.021276,0.020488
0.510794,0.099814,0.020488,0.020488
0.530569,0.106521,0.021276,0.020488
0.550308,0.113334,0.021276,0.020488
0.570383,0.120384,0.021276,0.021276
0.590457,0.127433,0.021276,0.021276
0.610531,0.134482,0.022064,0.020488
0.630158,0.141612,0.021276,0.020488
0.650116,0.148983,0.021276,0.021276
0.670444,0.156491,0.021276,0.022064
0.690442,0.163755,0.020488,0.022064
0.710516,0.170805,0.021276,0.021276
0.731334,0.178115,0.022064,0.022064
0.751780,0.185295,0.022064,0.021276
0.772187,0.192585,0.021276,0.022064
0.792261,0.199634,0.021276,0.021276
0.812707,0.206814,0.022064,0.021276
0.833485,0.214236,0.022064,0.022064
0.853892,0.221526,0.022064,0.021276
0.873890,0.228790,0.020488,0.022064
0.894708,0.236100,0.020488,0.023640
0.915303,0.242840,0.018912,0.024428
0.936515,0.248911,0.018912,0.025216
0.957585,0.253975,0.016548,0.026792
0.978568,0.257494,0.014972,0.027580
1.000561,0.259267,0.015760,0.028368
1.022230,0.259150,0.014184,0.029156
1.043776,0.256832,0.014972,0.028368
1.065021,0.252562,0.014184,0.029156
1.085346,0.246270,0.013396,0.029156
1.105242,0.237684,0.014184,0.029156
1.123474,0.227504,0.013396,0.028368
1.140577,0.215522,0.012608,0.029156
1.156816,0.201174,0.013396,0.029944
1.171076,0.185384,0.011820,0.030732
1.183642,0.167248,0.008668,0.035460
1.192226,0.148212,0.006304,0.035460
1.197155,0.126705,0.011032,0.033096
1.198813,0.104704,0.011032,0.033096
1.197221,0.083487,0.008668,0.033884
1.192031,0.062854,0.005516,0.037036
1.182744,0.044151,0.005516,0.036248
1.169534,0.027473,0.007880,0.034672
1.153816,0.013725,0.010244,0.031520
1.136610,0.002602,0.010244,0.030732
1.118026,-0.006023,0.011032,0.029944
1.098489,-0.012192,0.013396,0.027580
1.077677,-0.016614,0.016548,0.026004
1.057015,-0.019633,0.017336,0.024428
1.036230,-0.021651,0.019700,0.022064
1.015024,-0.023367,0.020488,0.022064
0.993800,-0.024855,0.020488,0.022064
0.972954,-0.026092,0.019700,0.022064
0.952092,-0.026994,0.018912,0.022852
0.930819,-0.027342,0.019700,0.022852
0.909149,-0.027233,0.020488,0.022852
0.887484,-0.026775,0.021276,0.022064
0.866215,-0.026212,0.020488,0.022064
0.844560,-0.025405,0.021276,0.022064
0.823697,-0.024517,0.018912,0.022852
0.802079,-0.023015,0.016548,0.026792
0.779838,-0.019902,0.014972,0.029944
0.758794,-0.014731,0.012608,0.030732
0.737809,-0.006732,0.014184,0.030732
0.718556,0.003213,0.014972,0.028368
0.699955,0.015080,0.014972,0.029156
0.682584,0.028685,0.015760,0.028368
0.666443,0.043727,0.014972,0.029156
0.651825,0.060254,0.014184,0.029944
0.639061,0.078251,0.014972,0.029156
0.628481,0.096710,0.017336,0.025216
0.619437,0.114654,0.021276,0.018912
0.609923,0.132799,0.026792,0.014184
0.598890,0.150062,0.018912,0.022064
0.588639,0.166885,0.015760,0.023640
0.578932,0.184927,0.016548,0.024428
0.570204,0.203464,0.018124,0.022852
0.561921,0.222633,0.022852,0.018912
0.552962,0.241930,0.025216,0.017336
0.519430,0.294697,0.027580,0.014972
0.505512,0.310265,0.027580,0.014184
0.490235,0.324501,0.027580,0.014184
0.473415,0.337530,0.028368,0.014184
0.454751,0.349297,0.028368,0.015760
0.436198,0.358881,0.024428,0.017336
0.416129,0.368049,0.025216,0.018912
0.396050,0.376200,0.023640,0.019700
0.375392,0.383949,0.024428,0.019700
0.354868,0.390903,0.024428,0.018912
0.334097,0.397082,0.025216,0.018124
0.312288,0.402440,0.026004,0.018912
0.290632,0.406665,0.025216,0.018912
0.268815,0.409957,0.023640,0.020488
0.246933,0.412781,0.022852,0.021276
0.224630,0.415417,0.022064,0.022852
0.202733,0.418123,0.020488,0.023640
0.180508,0.421355,0.020488,0.024428
0.158767,0.425115,0.019700,0.024428
0.136772,0.429651,0.020488,0.024428
0.114906,0.434775,0.019700,0.025216
0.093628,0.440612,0.019700,0.024428
0.072549,0.447130,0.021276,0.022852
0.051541,0.453873,0.021276,0.022852
0.029858,0.461090,0.022852,0.022852
0.008550,0.468183,0.022064,0.022852
-0.011974,0.475137,0.022852,0.020488
-0.033733,0.482121,0.026792,0.018912
-0.055453,0.487829,0.028368,0.016548
-0.077562,0.491774,0.030732,0.014184
-0.099581,0.493186,0.035460,0.008668
-0.121882,0.490537,0.037824,0.007092
-0.142775,0.483443,0.037824,0.006304
-0.161342,0.472270,0.037824,0.005516
-0.176741,0.457589,0.036248,0.006304
-0.188628,0.440420,0.033096,0.008668
-0.197679,0.421166,0.032308,0.010244
-0.203524,0.401529,0.030732,0.010244
-0.206467,0.382050,0.029156,0.010244
-0.206903,0.361567,0.029156,0.011820
-0.204964,0.341567,0.029156,0.011032
-0.200580,0.321957,0.028368,0.011820
-0.193764,0.302218,0.028368,0.013396
-0.185142,0.283633,0.026004,0.014972
-0.175151,0.265746,0.024428,0.016548
-0.164216,0.248420,0.023640,0.017336
-0.152099,0.230932,0.024428,0.018124
-0.139482,0.214293,0.026792,0.014972
-0.125044,0.198133,0.031520,0.011820
-0.108876,0.184303,0.033096,0.009456
-0.089692,0.172627,0.031520,0.013396
-0.069936,0.163722,0.029156,0.014184
-0.049378,0.156871,0.026792,0.016548
-0.028010,0.151371,0.026004,0.018124
-0.006765,0.147101,0.024428,0.018912
0.014625,0.143631,0.024428,0.018912
0.036522,0.140918,0.026792,0.017336
0.058154,0.139641,0.028368,0.014972
0.080207,0.140350,0.026792,0.017336
0.102953,0.142552,0.026004,0.019700
0.125193,0.145672,0.024428,0.020488
0.146953,0.149321,0.022852,0.021276
0.169060,0.153273,0.022064,0.022852
0.190801,0.157039,0.022852,0.021276
0.213274,0.161181,0.024428,0.021276
0.235268,0.165725,0.025216,0.019700
